epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.023,0.87997,1.911,1.40164,0.50586,0.45572,0.46055,0.30628,1.14277,1.81809,1.77565,0.000256002,0.000256002,0.000256002
2,600.95,0.94787,1.52462,1.4507,0.59629,0.51715,0.54559,0.37581,1.10911,1.57483,1.75243,0.000495428,0.000495428,0.000495428
3,889.63,0.94769,1.49387,1.44776,0.59344,0.56461,0.59546,0.4151,1.11978,1.43667,1.75243,0.000717937,0.000717937,0.000717937
4,1176.54,0.91199,1.39664,1.42308,0.66458,0.58569,0.62972,0.4698,0.97287,1.33893,1.6021,0.000692869,0.000692869,0.000692869
5,1463.39,0.87091,1.30607,1.38857,0.68313,0.61221,0.6644,0.49928,0.93302,1.21265,1.54956,0.000667492,0.000667492,0.000667492
6,1751.17,0.83931,1.21118,1.36351,0.70461,0.61706,0.68502,0.52404,0.89944,1.15286,1.52649,0.000642115,0.000642115,0.000642115
7,2037.5,0.82813,1.16365,1.35282,0.71822,0.66053,0.7184,0.55747,0.88551,1.07853,1.50166,0.000616738,0.000616738,0.000616738
8,2323.39,0.8029,1.11364,1.33705,0.73441,0.68363,0.73797,0.57477,0.86348,0.98703,1.48358,0.000591361,0.000591361,0.000591361
9,2610.88,0.78956,1.07898,1.3239,0.76586,0.67904,0.75184,0.59819,0.81975,0.95373,1.43618,0.000565984,0.000565984,0.000565984
10,2894.27,0.77384,1.03249,1.31256,0.75335,0.69615,0.75462,0.6001,0.8198,0.93508,1.43023,0.000540607,0.000540607,0.000540607
11,3179.1,0.77085,0.99705,1.31007,0.77169,0.68089,0.75678,0.59964,0.82669,0.9247,1.45064,0.00051523,0.00051523,0.00051523
12,3462.79,0.76348,0.97337,1.30251,0.78088,0.70376,0.77471,0.61348,0.80538,0.90106,1.40404,0.000489853,0.000489853,0.000489853
13,3748.31,0.752,0.96173,1.29426,0.79472,0.70372,0.7821,0.62814,0.78777,0.85858,1.39176,0.000464476,0.000464476,0.000464476
14,4033.89,0.74387,0.93548,1.28545,0.79255,0.71947,0.78787,0.62991,0.79806,0.84311,1.39576,0.000439099,0.000439099,0.000439099
15,4320.85,0.7371,0.90916,1.2819,0.79606,0.72973,0.79467,0.64375,0.76038,0.82199,1.37242,0.000413722,0.000413722,0.000413722
16,4610.31,0.73264,0.88998,1.27569,0.82487,0.71436,0.8018,0.64833,0.7692,0.81062,1.37414,0.000388345,0.000388345,0.000388345
17,4898.17,0.72082,0.86187,1.26797,0.81497,0.73722,0.80673,0.65345,0.75951,0.79105,1.35441,0.000362968,0.000362968,0.000362968
18,5184.59,0.71276,0.83362,1.25988,0.83705,0.72173,0.81186,0.65548,0.76415,0.7701,1.36238,0.000337591,0.000337591,0.000337591
19,5469.3,0.71374,0.82069,1.26436,0.81486,0.7376,0.81143,0.65967,0.74996,0.76207,1.35589,0.000312214,0.000312214,0.000312214
20,5754.7,0.70588,0.8086,1.25697,0.81618,0.73607,0.81417,0.66416,0.75247,0.74441,1.34268,0.000286837,0.000286837,0.000286837
21,6037.94,0.5944,0.70081,1.27868,0.82108,0.74624,0.81517,0.66437,0.74078,0.74942,1.33812,0.00026146,0.00026146,0.00026146
22,6316.15,0.58588,0.66248,1.26655,0.823,0.74279,0.81701,0.66795,0.7372,0.73189,1.33314,0.000236083,0.000236083,0.000236083
23,6593.21,0.57261,0.63889,1.25718,0.82922,0.74561,0.81995,0.67341,0.73124,0.7315,1.32893,0.000210706,0.000210706,0.000210706
24,6870.17,0.55737,0.60902,1.23965,0.81288,0.75812,0.82507,0.67984,0.71121,0.7213,1.30072,0.000185329,0.000185329,0.000185329
25,7147.53,0.54997,0.58381,1.2314,0.82259,0.75891,0.82939,0.68349,0.71076,0.69744,1.29778,0.000159952,0.000159952,0.000159952
26,7425.04,0.54564,0.56108,1.22395,0.82408,0.76549,0.83044,0.68461,0.71002,0.69675,1.29857,0.000134575,0.000134575,0.000134575
27,7702.58,0.535,0.54054,1.2144,0.84224,0.75894,0.83283,0.6899,0.70441,0.68494,1.29299,0.000109198,0.000109198,0.000109198
28,7978.83,0.52553,0.51253,1.2093,0.82941,0.76636,0.83163,0.68744,0.70376,0.6878,1.29011,8.3821e-05,8.3821e-05,8.3821e-05
29,8256.18,0.51802,0.49669,1.19801,0.8247,0.76902,0.83139,0.68956,0.69617,0.68623,1.28471,5.8444e-05,5.8444e-05,5.8444e-05
30,8532.53,0.51383,0.4858,1.1942,0.83558,0.76041,0.8321,0.6901,0.69915,0.6832,1.28677,3.3067e-05,3.3067e-05,3.3067e-05
